poi_id,name,missing_fields
OSM0920,Burger King,phone
OSM0921,Bank Asia,phone
OSM0928,Transom Digital,phone
OSM0931,"BRAC Bank Limited, ATM Booth, Road No. 2, Dhaka","address, phone"
OSM0932,"Popular Medical College, Road No. 2, Dhaka","address, phone"
OSM0933,"Dhanmondi Hawkers Market Masjid, Hawkers Market, Elephant Rd, Dhaka","address, phone"
OSM0934,"Darul Ihsan University, Road No. 2, Dhaka","address, phone"
OSM0935,"Shimanto square Jame Mosque Roof top, Shimanto Square, Dhanmondi, Dhaka","address, phone"
OSM0936,"Shimanto Convention Center, Community center, Road No. 2, Dhaka","address, phone"
OSM0937,"Baitul Mamur Jame Masjid, Science Laboratory, Mirpur Rd, Dhaka","address, phone"
OSM0939,Rine Medicas,phone
OSM0941,Ibn Sina Pharmacy,phone
OSM0945,"Unico Hospitals PLC, Green Rd, Dhaka","address, phone"
OSM0946,অগ্রণী ব্যাংক,"address, phone"
OSM0947,"Mukul Dental Clinic, Hospital, Green Square Road, Dhaka","address, phone"
OSM0948,"Dutch-Bangla Bank Limited (DBBL) - Fast Track, Green Rd, Dhaka","address, phone"
OSM0949,"Labid hospital Dhanmondi, Hospital, Green Square Road, Dhaka","address, phone"
OSM0950,"Pubali Bank Limited, Private sector bank, Science Lab, Mirpur Rd, Dhaka","address, phone"
OSM0951,Aftab Restaurant and Kabab,phone
OSM0952,The International Driving School,"address, phone"
OSM0953,KolaBagan Bus stop,"address, phone"
OSM0954,Anwer Khan Modern Medical College Library,"address, phone"
OSM0955,Baitus Salah Mosque,"address, phone"
OSM0956,Kalabagan East Bus Stop,"address, phone"
OSM0957,Dutch-Bangla Bank Limited - Fast track | ATM Booth,"address, phone"
OSM0958,Daffodil Computers Limited,"address, phone"
OSM0959,Uttara Bank Limited | ATM Booth,"address, phone"
OSM0960,Maisha Hotel & Restaurant,"address, phone"
OSM0961,"Apollo Hospital Information Center, Health consultant","address, phone"
OSM0962,North Dhanmondi Jame Masjid,"address, phone"
OSM0963,Lake View Jame Mosque,"address, phone"
OSM0964,Green Line Paribahan Bus Counter,"address, phone"
OSM0965,Export Import Bank of Bangladesh Limited,"address, phone"
OSM0966,"Meena Bazar, Supermarket","address, phone"
OSM0967,"Neuro ICU, IBN SINA HOSPITAL","address, phone"
OSM0968,Bangladesh Medical College Hospital,"address, phone"
OSM0969,Sunnydale Junior School (I to V),"address, phone"
OSM0970,Junior Laboratory High School,phone
OSM0971,Anam Rangs Plaza Shopping mall,"address, phone"
OSM0972,Mastermind English Medium School (Junior Section),"address, phone"
OSM0973,Sobhanbagh Masjid & Madrasah Complex,"address, phone"
OSM0974,Green Gems International School,"address, phone"
OSM0975,"Chowdhury Community Center,","address, phone"
OSM0976,Wisdom International School,"address, phone"
OSM0977,Iranian International School,"address, phone"
OSM0978,Metro Shopping Mall,"address, phone"
OSM0979,Baitus Salam Mosque,"address, phone"
OSM0980,Sunnydale Middle School,"address, phone"
OSM0981,Rainbow Heart Limited,"address, phone"
OSM0982,State University of Bangladesh,"address, phone"
OSM0983,"Al-Noor Eye Hospital, Hospita","address, phone"
OSM0984,State College of Health Sciences,"address, phone"
OSM0985,"Nizams Shankar Plaza, Shopping mall","address, phone"
OSM0986,West Dhanmondi Jaame Masjid,"address, phone"
OSM0987,Mohammadpur RAB Office,"address, phone"
OSM0988,Square Hospitals,phone
OSM0991,বেঙ্গল বই,phone
OSM0993,Mövenpick,"address, phone"
OSM0994,Shahjalal Islami Bank,phone
OSM0996,Smashed Burgers,phone
OSM0997,কস্তরী সুলতান,phone
OSM0998,Dr. Lina's Skin & Aesthetics,phone
OSM0999,Brewd Harmony Coffee Roasters,phone
OSM1001,ম্মোকি স্টেশন,phone
OSM1003,Chamichi,phone
OSM1004,ChefMate Lounge,phone
OSM1005,Chef Mate Lounge,phone
OSM1009,Buy Perfume in Bangladesh,address
OSM1010,Arabian Fast Food,phone
OSM1011,বেলিসিমো,phone
OSM1012,Advanced Dental Care,phone
OSM1013,"ঢাকা আঞ্চলিক কেন্দ্র, বাংলাদেশ উন্মুক্ত বিশ্ববিদ্যালয়",address
OSM1014,ব্রাক ব্যাংক লিমিটেড,phone
OSM1015,BRAC Bank Limited,phone
OSM1016,Waterfall Restaurant and Convention Hall Dhanmondi,phone
OSM1017,Maple Leaf International School,phone
OSM1019,Southeast Bank,"address, phone"
OSM1021,vegetable cart,"address, phone"
OSM1022,Imon Dry Cleaners (Laundry),"address, phone"
OSM1026,Temporary Street Vendors,"address, phone"
OSM1027,Street Vendors,"address, phone"
OSM1028,Hardware Store,"address, phone"
OSM1029,Amena Tailor,"address, phone"
OSM1030,Groceries,"address, phone"
OSM1031,Monir Store (Groceries),"address, phone"
OSM1032,Purnima Saloon,"address, phone"
OSM1033,Gomoti Pharmacy,"address, phone"
OSM1034,Street Vendors,"address, phone"
OSM1035,Print and Press,"address, phone"
OSM1036,Street Vendors,"address, phone"
OSM1037,Tea Stall,"address, phone"
OSM1038,Bhai Bhai Store (Groceries),"address, phone"
OSM1039,Modina Store (Groceries),"address, phone"
OSM1040,Native Rights (Organic Food Store),"address, phone"
OSM1041,General Store,"address, phone"
OSM1042,Food Cart,"address, phone"
OSM1043,Bakery,"address, phone"
OSM1044,Food Chain,"address, phone"
OSM1045,Vendors (Fruits and Vegetables),"address, phone"
OSM1046,Vendors,"address, phone"
OSM1047,Vendors,"address, phone"
OSM1048,Vendors,"address, phone"
OSM1049,Vendors,"address, phone"
OSM1050,Vendors (Fast Food),"address, phone"
OSM1051,Ma Fatema General Store,"address, phone"
OSM1052,General Store,"address, phone"
OSM1053,Vendors (Banana),"address, phone"
OSM1054,Vendors (Fruits and Vegetables),"address, phone"
OSM1055,Vendors,"address, phone"
OSM1056,Vendors (Fruits and Vegetable),"address, phone"
OSM1057,Nandini Tailor,"address, phone"
OSM1066,General Store,"address, phone"
OSM1067,General Store,"address, phone"
OSM1068,General Store,"address, phone"
OSM1069,Stationery  Store,"address, phone"
OSM1070,General Store,"address, phone"
OSM1071,Bappi Electric House,"address, phone"
OSM1072,Baba Mayer Doa Bedding Store,"address, phone"
OSM1073,Hardware Store,"address, phone"
OSM1074,Hardware Store,"address, phone"
OSM1075,Hardware Store,"address, phone"
OSM1076,General Store,"address, phone"
OSM1077,Bakarah Ator Store,"address, phone"
OSM1078,Local Restaurant,"address, phone"
OSM1079,Saloon,"address, phone"
OSM1080,Saloon,"address, phone"
OSM1081,Print,"address, phone"
OSM1082,Restaurant,"address, phone"
OSM1083,Restaurant,"address, phone"
OSM1084,Grocery Store,"address, phone"
OSM1085,Grocery Store,"address, phone"
OSM1086,Grocery Store,"address, phone"
OSM1087,Grocery Store,"address, phone"
OSM1088,Hardware Store,"address, phone"
OSM1089,Vendors (Fish),"address, phone"
OSM1090,Vendors (Temporary Raw Market),"address, phone"
OSM1091,Vendors (Chicken),"address, phone"
OSM1092,Vendors (street food),"address, phone"
OSM1093,Vendors,"address, phone"
OSM1097,Rickshaw/CNG Stand,"address, phone"
OSM1098,Rickshaw Stand,"address, phone"
OSM1099,CNG Stand,"address, phone"
OSM1100,Rickshaw Stand,"address, phone"
OSM1101,Street Vendors,"address, phone"
OSM1102,Vendors (Vegetable and Fruits),"address, phone"
OSM1103,Vendors (Fruits and Vegetables),"address, phone"
OSM1104,Grocery Store,"address, phone"
OSM1105,EBL 365,"address, phone"
OSM1106,Shwapno,"address, phone"
OSM1107,KFC,"address, phone"
