poi_id,name,missing_fields
OSM0149,Mohammadia Aliya Madrasha,"address, phone"
OSM0150,Razemosare National Primary School,"address, phone"
OSM0151,Sinnomul Sonkary Prathomik Biddaloy School,"address, phone"
OSM0152,West Dhanmondi Ideal School,"address, phone"
OSM0154,Al Hossain Girls High School,"address, phone"
OSM0155,West Dhanmondi Yusuf High School,"address, phone"
OSM0156,Zigatola Model Government Primary School,"address, phone"
OSM0157,Mosjidul Takwa,"address, phone"
OSM0158,Jigatola Community Center,"address, phone"
OSM0159,Omar Faruk Ideal Academy,"address, phone"
OSM0160,Sowatowgor Shahi Mosque,"address, phone"
OSM0162,Royal Tannery Mosque,"address, phone"
OSM0163,Mollick Preparatory School,"address, phone"
OSM0164,Safs London School and College,"address, phone"
OSM0165,School of Development (SODA),"address, phone"
OSM0166,University of Development (UODA),"address, phone"
OSM0167,প্রাইম ব্যাংক,"address, phone"
OSM0173,Baskin Robbins,"address, phone"
OSM0174,H2O Longe,"address, phone"
OSM0175,Cocktails,phone
OSM0176,ইসলামী ব্যাংক বাংলাদেশ লিমিটেড এটিএম,phone
OSM0177,Shampan,"address, phone"
OSM0178,Dutch- Bangla Bank Limited,phone
OSM0179,Sky Chef,"address, phone"
OSM0180,আল-আরাফাহ ইসলামী ব্যাংক লিমিটেড,phone
OSM0181,Jing Ling Restaurant,"address, phone"
OSM0182,Cart Station,"address, phone"
OSM0183,Kebab on 7,"address, phone"
OSM0185,এবি ব্যাংক এটিএম বুথ,"address, phone"
OSM0186,এবি ব্যাংক প্রশিক্ষণ একাডেমী,"address, phone"
OSM0187,Asia Pacific University,"address, phone"
OSM0188,Dutch Bomala Bank ATM Booth,"address, phone"
OSM0189,Government Remeta Employee Hospital,"address, phone"
OSM0190,Radient Rose School,"address, phone"
OSM0192,Modina Mosque,"address, phone"
OSM0193,Baitus-salam Zome Mosque,"address, phone"
OSM0194,Baitut-lalele Zome Mosque,"address, phone"
OSM0195,Hieare School,"address, phone"
OSM0196,Just International School,"address, phone"
OSM0197,Maszid-e-Ixbak-Noor,"address, phone"
OSM0198,Shapla Academy,"address, phone"
OSM0199,শ্রী কালী মন্দির,"address, phone"
OSM0200,Al aksa mosque,"address, phone"
OSM0201,Redient Rose School,"address, phone"
OSM0202,Vertex Educare,"address, phone"
OSM0203,জনতা ব্যাংক এটিএম,phone
OSM0204,ডিবিবিএল ব্যাংক এটিএম,phone
OSM0205,Plaza A.R.,phone
OSM0206,Cash and Carry,"address, phone"
OSM0207,Keyari plaza,phone
OSM0208,sugondha community center,"address, phone"
OSM0209,Kaisar sweet shop,phone
OSM0210,NOIR,"address, phone"
OSM0211,Vikrampur Mistanno Bhandar,phone
OSM0212,University Of Development Alternative,phone
OSM0213,dynamic Food Court,"address, phone"
OSM0214,প্রাইম ব্যাংক চক্ষু হাসপাতাল,"address, phone"
OSM0215,Bata,"address, phone"
OSM0216,Cha Bar,"address, phone"
OSM0217,Hello Dhamondi,"address, phone"
OSM0218,Cafe Droom,"address, phone"
OSM0219,CP Fried Chicken,"address, phone"
OSM0220,Coopers,"address, phone"
OSM0221,Nostalgic Cafe,"address, phone"
OSM0222,Jaypur sweets,"address, phone"
OSM0223,ন্যাশনাল ক্রেডিট কমার্স ব্যাংক লিমিটেড;Sadeeq Agro,phone
OSM0224,Swarma KIng,"address, phone"
OSM0225,The Lamp Cafe,"address, phone"
OSM0226,Eden Multicare Hospital,"address, phone"
OSM0227,ন্যাশনাল ব্যাংক লিমিটেড,"address, phone"
OSM0228,Gloria Jeans Coffee,phone
OSM0229,Clinic Cafe,phone
OSM0230,Multiple Books Stores,"address, phone"
OSM0231,Delhi Darbar,phone
OSM0232,Cricket Coaching School. (CCS),"address, phone"
OSM0233,Mama'r cha-er dokan.,phone
OSM0234,Sunmoon Tailor,phone
OSM0236,Comic Cafe,phone
OSM0237,বেসিক ব্যাংক,"address, phone"
OSM0238,Saima Pharmacy,phone
OSM0239,Manna's photoshop,"address, phone"
OSM0240,Fireflies,"address, phone"
OSM0241,Al-amar,"address, phone"
